,ID,Naames,Links,Parent
1,A00-B99,Certain infectious and parasitic diseases,http://www.icd10data.com//ICD10CM/Codes/A00-B99,
2,C00-D49,Neoplasms,http://www.icd10data.com//ICD10CM/Codes/C00-D49,
3,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,http://www.icd10data.com//ICD10CM/Codes/D50-D89,
4,E00-E89,"Endocrine, nutritional and metabolic diseases",http://www.icd10data.com//ICD10CM/Codes/E00-E89,
5,F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",http://www.icd10data.com//ICD10CM/Codes/F01-F99,
6,G00-G99,Diseases of the nervous system,http://www.icd10data.com//ICD10CM/Codes/G00-G99,
7,H00-H59,Diseases of the eye and adnexa,http://www.icd10data.com//ICD10CM/Codes/H00-H59,
8,H60-H95,Diseases of the ear and mastoid process,http://www.icd10data.com//ICD10CM/Codes/H60-H95,
9,I00-I99,Diseases of the circulatory system,http://www.icd10data.com//ICD10CM/Codes/I00-I99,
10,J00-J99,Diseases of the respiratory system,http://www.icd10data.com//ICD10CM/Codes/J00-J99,
11,K00-K95,Diseases of the digestive system,http://www.icd10data.com//ICD10CM/Codes/K00-K95,
12,L00-L99,Diseases of the skin and subcutaneous tissue,http://www.icd10data.com//ICD10CM/Codes/L00-L99,
13,M00-M99,Diseases of the musculoskeletal system and connective tissue,http://www.icd10data.com//ICD10CM/Codes/M00-M99,
14,N00-N99,Diseases of the genitourinary system,http://www.icd10data.com//ICD10CM/Codes/N00-N99,
15,O00-O9A,"Pregnancy, childbirth and the puerperium",http://www.icd10data.com//ICD10CM/Codes/O00-O9A,
16,P00-P96,Certain conditions originating in the perinatal period,http://www.icd10data.com//ICD10CM/Codes/P00-P96,
17,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",http://www.icd10data.com//ICD10CM/Codes/Q00-Q99,
18,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",http://www.icd10data.com//ICD10CM/Codes/R00-R99,
19,S00-T88,"Injury, poisoning and certain other consequences of external causes",http://www.icd10data.com//ICD10CM/Codes/S00-T88,
20,V00-Y99,External causes of morbidity,http://www.icd10data.com//ICD10CM/Codes/V00-Y99,
21,Z00-Z99,Factors influencing health status and contact with health services,http://www.icd10data.com//ICD10CM/Codes/Z00-Z99,
22,A00-A09,Intestinal infectious diseases,http://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09,A00-B99
23,A15-A19,Tuberculosis,http://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19,A00-B99
24,A20-A28,Certain zoonotic bacterial diseases,http://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28,A00-B99
25,A30-A49,Other bacterial diseases,http://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49,A00-B99
26,A50-A64,Infections with a predominantly sexual mode of transmission,http://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64,A00-B99
27,A65-A69,Other spirochetal diseases,http://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69,A00-B99
28,A70-A74,Other diseases caused by chlamydiae,http://www.icd10data.com/ICD10CM/Codes/A00-B99/A70-A74,A00-B99
29,A75-A79,Rickettsioses,http://www.icd10data.com/ICD10CM/Codes/A00-B99/A75-A79,A00-B99
30,A80-A89,Viral and prion infections of the central nervous system,http://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89,A00-B99
31,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,http://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99,A00-B99
32,B00-B09,Viral infections characterized by skin and mucous membrane lesions,http://www.icd10data.com/ICD10CM/Codes/A00-B99/B00-B09,A00-B99
33,B10-B10,Other human herpesviruses,http://www.icd10data.com/ICD10CM/Codes/A00-B99/B10-B10,A00-B99
34,B15-B19,Viral hepatitis,http://www.icd10data.com/ICD10CM/Codes/A00-B99/B15-B19,A00-B99
35,B20-B20,Human immunodeficiency virus [HIV] disease,http://www.icd10data.com/ICD10CM/Codes/A00-B99/B20-B20,A00-B99
36,B25-B34,Other viral diseases,http://www.icd10data.com/ICD10CM/Codes/A00-B99/B25-B34,A00-B99
37,B35-B49,Mycoses,http://www.icd10data.com/ICD10CM/Codes/A00-B99/B35-B49,A00-B99
38,B50-B64,Protozoal diseases,http://www.icd10data.com/ICD10CM/Codes/A00-B99/B50-B64,A00-B99
39,B65-B83,Helminthiases,http://www.icd10data.com/ICD10CM/Codes/A00-B99/B65-B83,A00-B99
40,B85-B89,"Pediculosis, acariasis and other infestations",http://www.icd10data.com/ICD10CM/Codes/A00-B99/B85-B89,A00-B99
41,B90-B94,Sequelae of infectious and parasitic diseases,http://www.icd10data.com/ICD10CM/Codes/A00-B99/B90-B94,A00-B99
42,B95-B97,Bacterial and viral infectious agents,http://www.icd10data.com/ICD10CM/Codes/A00-B99/B95-B97,A00-B99
43,B99-B99,Other infectious diseases,http://www.icd10data.com/ICD10CM/Codes/A00-B99/B99-B99,A00-B99
44,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",http://www.icd10data.com/ICD10CM/Codes/C00-D49/C00-C14,C00-D49
45,C15-C26,Malignant neoplasms of digestive organs,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C15-C26,C00-D49
46,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C30-C39,C00-D49
47,C40-C41,Malignant neoplasms of bone and articular cartilage,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C40-C41,C00-D49
48,C43-C44,Melanoma and other malignant neoplasms of skin,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C43-C44,C00-D49
49,C45-C49,Malignant neoplasms of mesothelial and soft tissue,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C45-C49,C00-D49
50,C50-C50,Malignant neoplasms of breast,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C50-C50,C00-D49
51,C51-C58,Malignant neoplasms of female genital organs,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C51-C58,C00-D49
52,C60-C63,Malignant neoplasms of male genital organs,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C60-C63,C00-D49
53,C64-C68,Malignant neoplasms of urinary tract,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C64-C68,C00-D49
54,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system",http://www.icd10data.com/ICD10CM/Codes/C00-D49/C69-C72,C00-D49
55,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C73-C75,C00-D49
56,C7A-C7A,Malignant neuroendocrine tumors,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C7A-C7A,C00-D49
57,C7B-C7B,Secondary neuroendocrine tumors,http://www.icd10data.com/ICD10CM/Codes/C00-D49/C7B-C7B,C00-D49
58,C76-C80,"Malignant neoplasms of ill-defined, other secondary and unspecified sites",http://www.icd10data.com/ICD10CM/Codes/C00-D49/C76-C80,C00-D49
59,C81-C96,"Malignant neoplasms of lymphoid, hematopoietic and related tissue",http://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96,C00-D49
60,D00-D09,In situ neoplasms,http://www.icd10data.com/ICD10CM/Codes/C00-D49/D00-D09,C00-D49
61,D10-D36,"Benign neoplasms, except benign neuroendocrine tumors",http://www.icd10data.com/ICD10CM/Codes/C00-D49/D10-D36,C00-D49
62,D3A-D3A,Benign neuroendocrine tumors,http://www.icd10data.com/ICD10CM/Codes/C00-D49/D3A-D3A,C00-D49
63,D37-D48,"Neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes",http://www.icd10data.com/ICD10CM/Codes/C00-D49/D37-D48,C00-D49
64,D49-D49,Neoplasms of unspecified behavior,http://www.icd10data.com/ICD10CM/Codes/C00-D49/D49-D49,C00-D49
65,D50-D53,Nutritional anemias,http://www.icd10data.com/ICD10CM/Codes/D50-D89/D50-D53,D50-D89
66,D55-D59,Hemolytic anemias,http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59,D50-D89
67,D60-D64,Aplastic and other anemias and other bone marrow failure syndromes,http://www.icd10data.com/ICD10CM/Codes/D50-D89/D60-D64,D50-D89
68,D65-D69,"Coagulation defects, purpura and other hemorrhagic conditions",http://www.icd10data.com/ICD10CM/Codes/D50-D89/D65-D69,D50-D89
69,D70-D77,Other disorders of blood and blood-forming organs,http://www.icd10data.com/ICD10CM/Codes/D50-D89/D70-D77,D50-D89
70,D78-D78,Intraoperative and postprocedural complications of the spleen,http://www.icd10data.com/ICD10CM/Codes/D50-D89/D78-D78,D50-D89
71,D80-D89,Certain disorders involving the immune mechanism,http://www.icd10data.com/ICD10CM/Codes/D50-D89/D80-D89,D50-D89
72,E00-E07,Disorders of thyroid gland,http://www.icd10data.com/ICD10CM/Codes/E00-E89/E00-E07,E00-E89
73,E08-E13,Diabetes mellitus,http://www.icd10data.com/ICD10CM/Codes/E00-E89/E08-E13,E00-E89
74,E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,http://www.icd10data.com/ICD10CM/Codes/E00-E89/E15-E16,E00-E89
75,E20-E35,Disorders of other endocrine glands,http://www.icd10data.com/ICD10CM/Codes/E00-E89/E20-E35,E00-E89
76,E36-E36,Intraoperative complications of endocrine system,http://www.icd10data.com/ICD10CM/Codes/E00-E89/E36-E36,E00-E89
77,E40-E46,Malnutrition,http://www.icd10data.com/ICD10CM/Codes/E00-E89/E40-E46,E00-E89
78,E50-E64,Other nutritional deficiencies,http://www.icd10data.com/ICD10CM/Codes/E00-E89/E50-E64,E00-E89
79,E65-E68,"Overweight, obesity and other hyperalimentation",http://www.icd10data.com/ICD10CM/Codes/E00-E89/E65-E68,E00-E89
80,E70-E88,Metabolic disorders,http://www.icd10data.com/ICD10CM/Codes/E00-E89/E70-E88,E00-E89
81,E89-E89,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified",http://www.icd10data.com/ICD10CM/Codes/E00-E89/E89-E89,E00-E89
82,F01-F09,Mental disorders due to known physiological conditions,http://www.icd10data.com/ICD10CM/Codes/F01-F99/F01-F09,F01-F99
83,F10-F19,Mental and behavioral disorders due to psychoactive substance use,http://www.icd10data.com/ICD10CM/Codes/F01-F99/F10-F19,F01-F99
84,F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",http://www.icd10data.com/ICD10CM/Codes/F01-F99/F20-F29,F01-F99
85,F30-F39,Mood [affective] disorders,http://www.icd10data.com/ICD10CM/Codes/F01-F99/F30-F39,F01-F99
86,F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",http://www.icd10data.com/ICD10CM/Codes/F01-F99/F40-F48,F01-F99
87,F50-F59,Behavioral syndromes associated with physiological disturbances and physical factors,http://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59,F01-F99
88,F60-F69,Disorders of adult personality and behavior,http://www.icd10data.com/ICD10CM/Codes/F01-F99/F60-F69,F01-F99
89,F70-F79,Intellectual disabilities,http://www.icd10data.com/ICD10CM/Codes/F01-F99/F70-F79,F01-F99
90,F80-F89,Pervasive and specific developmental disorders,http://www.icd10data.com/ICD10CM/Codes/F01-F99/F80-F89,F01-F99
91,F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,http://www.icd10data.com/ICD10CM/Codes/F01-F99/F90-F98,F01-F99
92,F99-F99,Unspecified mental disorder,http://www.icd10data.com/ICD10CM/Codes/F01-F99/F99-F99,F01-F99
93,G00-G09,Inflammatory diseases of the central nervous system,http://www.icd10data.com/ICD10CM/Codes/G00-G99/G00-G09,G00-G99
94,G10-G14,Systemic atrophies primarily affecting the central nervous system,http://www.icd10data.com/ICD10CM/Codes/G00-G99/G10-G14,G00-G99
95,G20-G26,Extrapyramidal and movement disorders,http://www.icd10data.com/ICD10CM/Codes/G00-G99/G20-G26,G00-G99
96,G30-G32,Other degenerative diseases of the nervous system,http://www.icd10data.com/ICD10CM/Codes/G00-G99/G30-G32,G00-G99
97,G35-G37,Demyelinating diseases of the central nervous system,http://www.icd10data.com/ICD10CM/Codes/G00-G99/G35-G37,G00-G99
98,G40-G47,Episodic and paroxysmal disorders,http://www.icd10data.com/ICD10CM/Codes/G00-G99/G40-G47,G00-G99
99,G50-G59,"Nerve, nerve root and plexus disorders",http://www.icd10data.com/ICD10CM/Codes/G00-G99/G50-G59,G00-G99
100,G60-G65,Polyneuropathies and other disorders of the peripheral nervous system,http://www.icd10data.com/ICD10CM/Codes/G00-G99/G60-G65,G00-G99
101,G70-G73,Diseases of myoneural junction and muscle,http://www.icd10data.com/ICD10CM/Codes/G00-G99/G70-G73,G00-G99
102,G80-G83,Cerebral palsy and other paralytic syndromes,http://www.icd10data.com/ICD10CM/Codes/G00-G99/G80-G83,G00-G99
103,G89-G99,Other disorders of the nervous system,http://www.icd10data.com/ICD10CM/Codes/G00-G99/G89-G99,G00-G99
104,H00-H05,"Disorders of eyelid, lacrimal system and orbit",http://www.icd10data.com/ICD10CM/Codes/H00-H59/H00-H05,H00-H59
