"Notes"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	"UCD - ICD Sub-Chapter"	"UCD - ICD Sub-Chapter Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Cholera due to Vibrio cholerae 01, biovar cholerae"	"A00.0"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Cholera due to Vibrio cholerae 01, biovar eltor"	"A00.1"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Cholera, unspecified"	"A00.9"	5	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Typhoid fever"	"A01.0"	3	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Paratyphoid fever A"	"A01.1"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Paratyphoid fever B"	"A01.2"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Paratyphoid fever C"	"A01.3"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Paratyphoid fever, unspecified"	"A01.4"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Salmonella enteritis"	"A02.0"	179	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Salmonella septicaemia"	"A02.1"	300	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Localized salmonella infections"	"A02.2"	25	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other specified salmonella infections"	"A02.8"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Salmonella infection, unspecified"	"A02.9"	59	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Shigellosis due to Shigella dysenteriae"	"A03.0"	3	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Shigellosis due to Shigella flexneri"	"A03.1"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Shigellosis due to Shigella boydii"	"A03.2"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Shigellosis due to Shigella sonnei"	"A03.3"	2	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other shigellosis"	"A03.8"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Shigellosis, unspecified"	"A03.9"	55	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Enteropathogenic Escherichia coli infection"	"A04.0"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Enterotoxigenic Escherichia coli infection"	"A04.1"	3	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Enteroinvasive Escherichia coli infection"	"A04.2"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Enterohaemorrhagic Escherichia coli infection"	"A04.3"	2	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other intestinal Escherichia coli infections"	"A04.4"	53	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Campylobacter enteritis"	"A04.5"	33	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Enteritis due to Yersinia enterocolitica"	"A04.6"	4	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Enterocolitis due to Clostridium difficile"	"A04.7"	82832	4791200056	1.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other specified bacterial intestinal infections"	"A04.8"	1132	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Bacterial intestinal infection, unspecified"	"A04.9"	286	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Foodborne staphylococcal intoxication"	"A05.0"	3	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Botulism"	"A05.1"	44	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Foodborne Clostridium perfringens [Clostridium welchii] intoxication"	"A05.2"	12	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Foodborne Vibrio parahaemolyticus intoxication"	"A05.3"	13	4791200056	Unreliable
