,name,id,label,title,value
1,A00-B99,1,A00-B99,Certain infectious and parasitic diseases,561
2,C00-D49,2,C00-D49,Neoplasms,2030
3,D50-D89,3,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,13.8
4,E00-E89,4,E00-E89,"Endocrine, nutritional and metabolic diseases",1110
5,F01-F99,5,F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",451
6,G00-G99,6,G00-G99,Diseases of the nervous system,7910
7,H00-H59,7,H00-H59,Diseases of the eye and adnexa,166
8,H60-H95,8,H60-H95,Diseases of the ear and mastoid process,80.2
9,I00-I99,9,I00-I99,Diseases of the circulatory system,3410
10,J00-J99,10,J00-J99,Diseases of the respiratory system,10800
11,K00-K95,11,K00-K95,Diseases of the digestive system,7750
12,L00-L99,12,L00-L99,Diseases of the skin and subcutaneous tissue,1590
13,M00-M99,13,M00-M99,Diseases of the musculoskeletal system and connective tissue,823
14,N00-N99,14,N00-N99,Diseases of the genitourinary system,1320
15,O00-O9A,15,O00-O9A,"Pregnancy, childbirth and the puerperium",228
16,P00-P96,16,P00-P96,Certain conditions originating in the perinatal period,50.8
17,Q00-Q99,17,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",41.5
18,R00-R99,18,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",57.4
19,S00-T88,19,S00-T88,"Injury, poisoning and certain other consequences of external causes",1320
20,V00-Y99,20,V00-Y99,External causes of morbidity,1200
21,Z00-Z99,21,Z00-Z99,Factors influencing health status and contact with health services,1440
22,A00-A09,22,A00-A09,Intestinal infectious diseases,2710
23,A15-A19,23,A15-A19,Tuberculosis,10600
24,A20-A28,24,A20-A28,Certain zoonotic bacterial diseases,37.1
25,A30-A49,25,A30-A49,Other bacterial diseases,10100
26,A50-A64,26,A50-A64,Infections with a predominantly sexual mode of transmission,16.8
27,A65-A69,27,A65-A69,Other spirochetal diseases,20.1
28,A70-A74,28,A70-A74,Other diseases caused by chlamydiae,20.2
29,A75-A79,29,A75-A79,Rickettsioses,84.1
30,A80-A89,30,A80-A89,Viral and prion infections of the central nervous system,16.5
31,A90-A99,31,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,10.5
32,B00-B09,32,B00-B09,Viral infections characterized by skin and mucous membrane lesions,14.2
33,B10-B10,33,B10-B10,Other human herpesviruses,78.4
34,B15-B19,34,B15-B19,Viral hepatitis,4930
35,B20-B20,35,B20-B20,Human immunodeficiency virus [HIV] disease,1940
36,B25-B34,36,B25-B34,Other viral diseases,9050
37,B35-B49,37,B35-B49,Mycoses,926
38,B50-B64,38,B50-B64,Protozoal diseases,186
39,B65-B83,39,B65-B83,Helminthiases,36.8
40,B85-B89,40,B85-B89,"Pediculosis, acariasis and other infestations",2.88
41,B90-B94,41,B90-B94,Sequelae of infectious and parasitic diseases,16.4
42,B95-B97,42,B95-B97,Bacterial and viral infectious agents,1300
43,B99-B99,43,B99-B99,Other infectious diseases,14100
44,C00-C14,44,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",13
45,C15-C26,45,C15-C26,Malignant neoplasms of digestive organs,41.3
46,C30-C39,46,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,13.1
47,C40-C41,47,C40-C41,Malignant neoplasms of bone and articular cartilage,12.5
48,C43-C44,48,C43-C44,Melanoma and other malignant neoplasms of skin,270
49,C45-C49,49,C45-C49,Malignant neoplasms of mesothelial and soft tissue,12.5
50,C50-C50,50,C50-C50,Malignant neoplasms of breast,1030
51,C51-C58,51,C51-C58,Malignant neoplasms of female genital organs,21.6
52,C60-C63,52,C60-C63,Malignant neoplasms of male genital organs,16.2
53,C64-C68,53,C64-C68,Malignant neoplasms of urinary tract,100
54,C69-C72,54,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system",9.18
55,C73-C75,55,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,17.1
56,C7A-C7A,56,C7A-C7A,Malignant neuroendocrine tumors,446
57,C7B-C7B,57,C7B-C7B,Secondary neuroendocrine tumors,246
58,C76-C80,58,C76-C80,"Malignant neoplasms of ill-defined, other secondary and unspecified sites",7.26
59,C81-C96,59,C81-C96,"Malignant neoplasms of lymphoid, hematopoietic and related tissue",21.2
60,D00-D09,60,D00-D09,In situ neoplasms,897
61,D10-D36,61,D10-D36,"Benign neoplasms, except benign neuroendocrine tumors",12.5
62,D3A-D3A,62,D3A-D3A,Benign neuroendocrine tumors,314
63,D37-D48,63,D37-D48,"Neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes",4.26
64,D49-D49,64,D49-D49,Neoplasms of unspecified behavior,26.1
65,D50-D53,65,D50-D53,Nutritional anemias,80.7
66,D55-D59,66,D55-D59,Hemolytic anemias,150
67,D60-D64,67,D60-D64,Aplastic and other anemias and other bone marrow failure syndromes,14
68,D65-D69,68,D65-D69,"Coagulation defects, purpura and other hemorrhagic conditions",55.4
69,D70-D77,69,D70-D77,Other disorders of blood and blood-forming organs,53.7
70,D78-D78,70,D78-D78,Intraoperative and postprocedural complications of the spleen,3.42
71,D80-D89,71,D80-D89,Certain disorders involving the immune mechanism,301
72,E00-E07,72,E00-E07,Disorders of thyroid gland,3600
73,E08-E13,73,E08-E13,Diabetes mellitus,6130
74,E15-E16,74,E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,16.1
75,E20-E35,75,E20-E35,Disorders of other endocrine glands,1940
76,E36-E36,76,E36-E36,Intraoperative complications of endocrine system,64.5
77,E40-E46,77,E40-E46,Malnutrition,6140
78,E50-E64,78,E50-E64,Other nutritional deficiencies,2580
79,E65-E68,79,E65-E68,"Overweight, obesity and other hyperalimentation",4.75
80,E70-E88,80,E70-E88,Metabolic disorders,5400
81,E89-E89,81,E89-E89,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified",4.77
82,F01-F09,82,F01-F09,Mental disorders due to known physiological conditions,1050
83,F10-F19,83,F10-F19,Mental and behavioral disorders due to psychoactive substance use,71.5
84,F20-F29,84,F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",9.5
85,F30-F39,85,F30-F39,Mood [affective] disorders,1650
86,F40-F48,86,F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",3.16
87,F50-F59,87,F50-F59,Behavioral syndromes associated with physiological disturbances and physical factors,17.5
88,F60-F69,88,F60-F69,Disorders of adult personality and behavior,3600
89,F70-F79,89,F70-F79,Intellectual disabilities,7270
90,F80-F89,90,F80-F89,Pervasive and specific developmental disorders,419
91,F90-F98,91,F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,25.4
92,F99-F99,92,F99-F99,Unspecified mental disorder,1360
